gene_id	colors
cpc54_10992	yellow
cpc54_10993	turquoise
cpc54_10994	thistle1
cpc54_10995	green
cpc54_10996	darkturquoise
cpc54_10997	grey
cpc54_10998	yellow
cpc54_10999	yellow
cpc54_11	royalblue
cpc54_110	turquoise
cpc54_1100	green
cpc54_11000	brown
cpc54_11001	yellow
cpc54_11002	turquoise
cpc54_11004	purple
cpc54_11005	blue
cpc54_11006	turquoise
cpc54_11007	green
cpc54_11008	grey
cpc54_1101	pink
cpc54_11010	red
cpc54_11011	lightyellow
cpc54_11012	lightgreen
cpc54_11013	lightgreen
cpc54_11015	grey
cpc54_11016	grey
cpc54_11017	cyan
cpc54_11018	brown
cpc54_11019	grey
cpc54_1102	white
cpc54_11020	black
cpc54_11021	purple
cpc54_11023	grey
cpc54_11027	grey
cpc54_11029	blue
cpc54_1103	green
cpc54_11030	turquoise
cpc54_11031	darkorange
cpc54_11032	red
cpc54_11033	red
cpc54_11034	green
cpc54_11035	red
cpc54_11036	lightcyan
cpc54_11037	grey
cpc54_11038	steelblue
cpc54_1104	brown
cpc54_11040	turquoise
cpc54_11041	grey
cpc54_11042	tan
cpc54_11043	yellow
cpc54_11044	lightcyan
cpc54_11045	turquoise
cpc54_11046	turquoise
cpc54_11047	magenta
cpc54_11048	grey
cpc54_11049	blue
cpc54_1105	turquoise
cpc54_11050	darkred
cpc54_11051	blue
cpc54_11052	grey
cpc54_11054	turquoise
cpc54_11055	lightcyan
cpc54_11056	tan
cpc54_11057	grey60
cpc54_11058	tan
cpc54_11059	blue
cpc54_1106	turquoise
cpc54_11060	turquoise
cpc54_11063	brown
cpc54_11064	turquoise
cpc54_11065	darkgreen
cpc54_11066	royalblue
cpc54_11067	lightcyan1
cpc54_11068	floralwhite
cpc54_1107	turquoise
cpc54_11070	yellow
cpc54_11071	magenta
cpc54_11072	grey
cpc54_11073	turquoise
cpc54_11074	pink
cpc54_11075	tan
cpc54_11076	yellow
cpc54_11078	purple
cpc54_11079	turquoise
cpc54_1108	grey
cpc54_11080	green
cpc54_11081	purple
cpc54_11082	grey
cpc54_11083	yellow
cpc54_11084	skyblue3
cpc54_11085	yellow
cpc54_11086	darkorange
cpc54_11087	brown
cpc54_11088	brown
cpc54_11089	yellow
cpc54_1109	purple
cpc54_11090	turquoise
cpc54_11091	pink
cpc54_11093	turquoise
cpc54_11094	pink
cpc54_11095	grey
cpc54_11096	yellowgreen
cpc54_11098	turquoise
cpc54_11099	brown
cpc54_111	lightgreen
cpc54_1110	blue
cpc54_11100	grey
cpc54_11101	grey
cpc54_11102	brown
cpc54_11103	brown4
cpc54_11104	green
cpc54_11105	lightgreen
cpc54_11106	darkgreen
cpc54_11107	purple
cpc54_11108	magenta
cpc54_11109	paleturquoise
cpc54_1111	grey60
cpc54_11112	grey
cpc54_11113	darkslateblue
cpc54_11119	cyan
cpc54_1112	grey60
cpc54_11120	lightyellow
cpc54_11121	brown
cpc54_11122	magenta
cpc54_11123	skyblue3
cpc54_11124	grey60
cpc54_11125	blue
cpc54_11126	skyblue3
cpc54_11127	green
cpc54_11128	purple
cpc54_11129	turquoise
cpc54_1113	turquoise
cpc54_11136	grey
cpc54_11137	darkturquoise
cpc54_11138	turquoise
cpc54_1114	darkred
cpc54_11140	turquoise
cpc54_11141	blue
cpc54_11142	turquoise
cpc54_11143	turquoise
cpc54_11144	turquoise
cpc54_11145	black
cpc54_11146	red
cpc54_11147	purple
cpc54_11148	skyblue
cpc54_11149	brown
cpc54_1115	yellow
cpc54_11150	pink
cpc54_11151	green
cpc54_11153	magenta
cpc54_11154	grey
cpc54_11155	salmon
cpc54_11156	turquoise
cpc54_11157	yellow
cpc54_11158	blue
cpc54_11159	yellowgreen
cpc54_11162	red
cpc54_11164	yellow
cpc54_11165	red
cpc54_11166	darkred
cpc54_11167	lightgreen
cpc54_11169	yellow
cpc54_1117	blue
cpc54_11170	yellow
cpc54_11171	darkgreen
cpc54_11172	turquoise
cpc54_11173	tan
cpc54_11174	black
cpc54_11175	darkred
cpc54_11177	brown
cpc54_11178	yellow
cpc54_11179	blue
cpc54_1118	turquoise
cpc54_11180	mediumpurple3
cpc54_11181	blue
cpc54_11182	lightgreen
cpc54_11183	pink
cpc54_11184	black
cpc54_11186	black
cpc54_11187	paleturquoise
cpc54_11188	pink
cpc54_11189	pink
cpc54_11190	lightcyan
cpc54_11191	turquoise
cpc54_11192	red
cpc54_11193	blue
cpc54_11194	grey
cpc54_11195	plum1
cpc54_11197	brown
cpc54_11198	purple
cpc54_11199	turquoise
cpc54_112	royalblue
cpc54_11200	blue
cpc54_11201	green
cpc54_11202	turquoise
cpc54_11203	brown
cpc54_11207	black
cpc54_11208	grey
cpc54_11209	turquoise
cpc54_1121	grey
cpc54_11210	red
cpc54_11211	lightgreen
cpc54_11212	grey
cpc54_11214	darkslateblue
cpc54_11215	midnightblue
cpc54_11216	cyan
cpc54_11217	magenta
cpc54_11218	grey
cpc54_11219	brown
cpc54_1122	yellow
cpc54_11220	royalblue
cpc54_11221	darkgreen
cpc54_11222	turquoise
cpc54_11223	darkolivegreen
cpc54_11224	blue
cpc54_11225	green
cpc54_11226	blue
cpc54_11228	turquoise
cpc54_11229	blue
cpc54_11231	turquoise
cpc54_11232	yellow
cpc54_11233	greenyellow
cpc54_11238	lightyellow
cpc54_11239	darkgreen
cpc54_1124	black
cpc54_11240	turquoise
cpc54_11241	royalblue
cpc54_11242	darkturquoise
cpc54_11244	brown
cpc54_11245	black
cpc54_11246	red
cpc54_11247	lightgreen
cpc54_11248	cyan
cpc54_11249	plum2
cpc54_11250	grey
cpc54_11251	turquoise
cpc54_11252	turquoise
cpc54_11253	white
cpc54_11254	grey
cpc54_11255	grey
cpc54_11256	black
cpc54_11257	saddlebrown
cpc54_11258	grey
cpc54_11259	salmon
cpc54_1126	cyan
cpc54_11260	blue
cpc54_11261	pink
cpc54_11262	yellow
cpc54_11263	grey
cpc54_11264	grey
cpc54_11265	grey
cpc54_11266	yellow
cpc54_11267	pink
cpc54_11268	brown
cpc54_11269	turquoise
cpc54_1127	cyan
cpc54_11270	turquoise
cpc54_11272	darkorange2
cpc54_11273	yellow
cpc54_11274	yellow
cpc54_11275	red
cpc54_11276	midnightblue
cpc54_11277	yellow
cpc54_11278	greenyellow
cpc54_11279	green
cpc54_1128	red
cpc54_11280	blue
cpc54_11281	grey
cpc54_11283	turquoise
cpc54_11284	plum1
cpc54_11285	blue
cpc54_11286	turquoise
cpc54_11287	blue
cpc54_11288	green
cpc54_11289	red
cpc54_1129	pink
cpc54_11290	turquoise
cpc54_11291	darkred
cpc54_11292	turquoise
cpc54_11294	grey
cpc54_11295	lightcyan
cpc54_11297	black
cpc54_11298	darkmagenta
cpc54_11299	turquoise
cpc54_113	blue
cpc54_11300	grey
cpc54_11302	grey
cpc54_11303	yellow
cpc54_11304	yellow
cpc54_11305	grey
cpc54_11306	grey
cpc54_11307	yellow
