sequence	cg	chg	gene	classification
cpc54_10184.1	0.002138888889	0.007503571429000001	cpc54_10184	UM
cpc54_10185.1	0.002194736842	0	cpc54_10185	UM
cpc54_10186.1	0.0085725	0.0072054054049999995	cpc54_10186	UM
cpc54_10187.1	0.38020847454900086	0.008466962308952037	cpc54_10187	gbM
cpc54_10188.1	0.18070457313996166	0.003119662030956896	cpc54_10188	ambiguous
cpc54_10189.1	0.23288472468181737	0.005562723996361416	cpc54_10189	gbM
cpc54_1019.1	0.2908926829	0.00464	cpc54_1019	gbM
cpc54_10190.1	0.3537554128932181	0.003722288259121382	cpc54_10190	gbM
cpc54_10191.1	0.2808058351025685	0.002568850853918664	cpc54_10191	gbM
cpc54_10192.1	0.4942805358308108	0.004722482147799508	cpc54_10192	gbM
cpc54_10193.1	0.0033349999999999994	0.003923529412	cpc54_10193	UM
cpc54_10194.1	0.013066	0.005776315789	cpc54_10194	UM
cpc54_10195.1	0.9413696429	0.008997297297	cpc54_10195	gbM
cpc54_10196.1	0.06051875	0.006781081081	cpc54_10196	ambiguous
cpc54_10197.1	0.032428187569821784	0.00393887008690891	cpc54_10197	UM
cpc54_10198.1	0.006857883987876838	0.007403313377040441	cpc54_10198	UM
cpc54_10199.1	0.38829569716775597	0.006881844589625272	cpc54_10199	gbM
cpc54_102.1	0.11830394777481928	0.005612538352503011	cpc54_102	ambiguous
cpc54_1020.1	0.38042425105941624	0.015542505607650412	cpc54_1020	gbM
cpc54_10200.1	0.18680381036381916	0.004363209509781193	cpc54_10200	ambiguous
cpc54_10201.1	0.007953504694326798	0.007343749050184642	cpc54_10201	UM
cpc54_10202.1	0.10192215972145789	0.009536355724926077	cpc54_10202	ambiguous
cpc54_10203.1	0.6795355835019886	0.004532502999792046	cpc54_10203	gbM
cpc54_10204.1	0	0.008184615385	cpc54_10204	UM
cpc54_10205.1	0.0040827282157676345	0.009793420270622407	cpc54_10205	UM
cpc54_10206.1	0.014105946516830049	0	cpc54_10206	UM
cpc54_10207.1	0.046706827586206895	0.002635275751408405	cpc54_10207	UM
cpc54_10208.1	0.005518181818	0	cpc54_10208	UM
cpc54_10209.1	0.6238107937172651	0.005137090694423632	cpc54_10209	gbM
cpc54_10209.2	0.6203828361039709	0.0049542349326962155	cpc54_10209	gbM
cpc54_1021.1	0.5286023624557281	0.005213757281553398	cpc54_1021	gbM
cpc54_1021.2	0.392100331798928	0.005044540581929556	cpc54_1021	gbM
cpc54_1021.3	0.4638030883073506	0.006746499914958653	cpc54_1021	gbM
cpc54_10210.1	0.4794162448568728	0.008415540158944837	cpc54_10210	gbM
cpc54_10210.2	0.4264929886077747	0.007750048597847761	cpc54_10210	gbM
cpc54_10210.3	0.4265634451481811	0.007835967012246823	cpc54_10210	gbM
cpc54_10211.1	0.148964048168788	0.023862117629004222	cpc54_10211	ambiguous
cpc54_10212.1	0.03165903785534073	0.005459675031822504	cpc54_10212	UM
cpc54_10213.1	0.01146703297	0.001973006135	cpc54_10213	UM
cpc54_10214.1	0.39242393811097787	0.008003536431484992	cpc54_10214	gbM
cpc54_10215.1	0.01145517241	0.004042222222	cpc54_10215	UM
cpc54_10216.1	0.01563676470588235	0.00459982699	cpc54_10216	UM
cpc54_10217.1	0.6106723449960161	0.0041637557240944	cpc54_10217	gbM
cpc54_10218.1	0.00825263157915	8.02725e-4	cpc54_10218	UM
cpc54_10219.1	0.015265709858202248	0.005826232667612359	cpc54_10219	UM
cpc54_1022.1	0.5969782608695652	0	cpc54_1022	gbM
cpc54_10220.1	0.6960083333000001	0.002446511628	cpc54_10220	gbM
cpc54_10221.1	0.3604962246906977	0.009246936495946845	cpc54_10221	gbM
cpc54_10222.1	0.5468765475213632	0.011904756441812136	cpc54_10222	gbM
cpc54_10223.1	0.4539046203346203	0.007830598455598456	cpc54_10223	gbM
cpc54_10224.1	0.007780769231	0.005636842105	cpc54_10224	UM
cpc54_10225.1	0.0103375	0.001524390244	cpc54_10225	UM
cpc54_10226.1	0.003313888889	0	cpc54_10226	UM
cpc54_10227.1	0.8842231602431566	0.00739084092293819	cpc54_10227	gbM
cpc54_10228.1	0.3828573614405525	0.005912425601053038	cpc54_10228	gbM
cpc54_10228.2	0.38240758118837853	0.005986833728857774	cpc54_10228	gbM
cpc54_10228.3	0.3826091646156483	0.005956784563644179	cpc54_10228	gbM
cpc54_10228.4	0.3826561510685098	0.0059424130509270106	cpc54_10228	gbM
cpc54_10229.1	0.4166662296549729	0.005436741842504522	cpc54_10229	gbM
cpc54_1023.1	0.4481925480777627	0.005240486814148849	cpc54_1023	gbM
cpc54_10230.1	0.5386647638435315	0.003790956163315851	cpc54_10230	gbM
cpc54_10231.1	0.597433791119878	0.006724292873237181	cpc54_10231	gbM
cpc54_10232.1	0.17201031850010473	0.011844927127225131	cpc54_10232	ambiguous
cpc54_10233.1	0.4512944444	0.3872636364	cpc54_10233	ambiguous
cpc54_10234.1	0.32706448053886883	0.007704653940122745	cpc54_10234	gbM
cpc54_10235.1	0.5946020873015873	0.008342877419457143	cpc54_10235	gbM
cpc54_10236.1	0.469463480796389	0.007360373489326455	cpc54_10236	gbM
cpc54_10237.1	0.8469665485585911	0.018731961514958765	cpc54_10237	gbM
cpc54_10238.1	0.5368086062135398	0.00781676651456128	cpc54_10238	gbM
cpc54_10239.1	0.781675653317172	0.00444511969876851	cpc54_10239	gbM
cpc54_10239.2	0.6825207545236669	0.003994055345763712	cpc54_10239	gbM
cpc54_1024.1	0.5083105962789226	0.009239820841879971	cpc54_1024	gbM
cpc54_10240.1	0.3467079860963194	0.002977678571875	cpc54_10240	gbM
cpc54_10241.1	0.6680519352359512	0.005364542679984668	cpc54_10241	gbM
cpc54_10242.1	0.6783838378800375	0.010750605324250312	cpc54_10242	gbM
cpc54_10243.1	0.7380252401052966	0.003976779661016949	cpc54_10243	gbM
cpc54_10244.1	0.5922648782201168	0.007108695240659545	cpc54_10244	gbM
cpc54_10245.1	0.39860803108629533	0.0023698775318704663	cpc54_10245	gbM
cpc54_10246.1	0.13075625	0.004092307692	cpc54_10246	ambiguous
cpc54_10247.1	0.01878676471	0.004246666667	cpc54_10247	UM
cpc54_10248.1	0.07623333333	0.0078	cpc54_10248	ambiguous
cpc54_10249.1	0.02639895833	0.0036973451330000002	cpc54_10249	UM
cpc54_1025.1	0.4804315827897727	0.0045975481280395025	cpc54_1025	gbM
cpc54_10250.1	0.9737	0.9401250000000001	cpc54_10250	teM
cpc54_10251.1	0.1188709302	0.005020634921	cpc54_10251	ambiguous
cpc54_10252.1	0.96423	0.010865625	cpc54_10252	gbM
cpc54_10253.1	0.5308532757991705	0.0076164652421087135	cpc54_10253	gbM
cpc54_10254.1	0.4080002976190476	0.0091983333325	cpc54_10254	gbM
cpc54_10255.1	0.6264923820452054	0.003853952625776256	cpc54_10255	gbM
cpc54_10255.2	0.6590660973448241	0.004405290212422632	cpc54_10255	gbM
cpc54_10255.3	0.6227851815519055	0.004994062551792236	cpc54_10255	gbM
cpc54_10256.1	0.08847114265146419	0.015459513356473003	cpc54_10256	ambiguous
cpc54_10257.1	0	0	cpc54_10257	UM
